瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公
备固,2011,2011-04-26,3老,2011-10-02,-8老, , , , ,2011-04-18,-6老, , , , , , ,2011-04-21,5老, , , , , , ,2011-03-23,1老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2011-03-04,-1老,2011-03-31,5老, , ,2011-03-14,1老,2011-03-31,7老, , ,2011-03-18,4老,2011-03-31,5老, , ,2011-03-23,5老,2011-04-07,4老, , ,2011-03-27,3老,2011-04-10,3老, , ,2011-03-30,7老,2011-04-10,1老, , 
备固,2012,2012-04-16,-7老,2012-10-03,-7老, , , , ,2012-04-24,0老, , , , , , ,2012-04-23,7老, , , , , , ,2012-03-26,4老, , , , , , , , , , , , , , ,2012-03-09,4老,2012-04-03,8老, , ,2012-03-12,-1老,2012-03-22,-2老, , ,2012-03-19,5老,2012-03-30,4老, , ,2012-03-26,8老,2012-04-09,6老, , ,2012-03-30,6老,2012-04-13,6老, , ,2012-04-02,10老,2012-04-13,4老, , 
备固,2013,2013-04-19,-4老,2013-10-15,5老, , , , ,2013-04-28,4老, , , , , , ,2013-04-23,7老, , , , , , ,2013-03-11,-11老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2013-03-05,0老,2013-03-25,-1老, , ,2013-03-14,1老,2013-03-20,-4老, , ,2013-03-15,1老,2013-03-24,-2老, , ,2013-03-18,0老,2013-03-31,-3老, , ,2013-03-27,3老,2013-04-05,-2老, , ,2013-03-31,8老,2013-04-09,0老, , 
备固,2014,2014-04-17,-6老,2014-10-16,6老, , , , ,2014-05-04,10老, , , , , , ,2014-04-23,7老, , , , , , ,2014-03-17,-5老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2014-03-03,-2老,2014-03-23,-3老, , ,2014-03-12,-1老,2014-03-21,-3老, , ,2014-03-17,3老,2014-03-24,-2老, , ,2014-03-18,0老,2014-03-28,-6老, , ,2014-03-23,-1老,2014-04-01,-6老, , ,2014-03-24,1老,2014-04-01,-8老, , 
备固,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-05,0老,2015-03-23,-3老, , ,2015-03-15,2老,2015-03-22,-2老, , ,2015-03-17,3老,2015-03-23,-3老, , ,2015-03-18,0老,2015-03-28,-6老, , ,2015-03-20,-4老,2015-04-03,-4老, , ,2015-03-20,-3老,2015-04-03,-6老, , 
巩版,2004,2004-03-27,-20老,2004-10-01,-4老, , , , ,2004-04-03,-15老, , , , , , ,2004-04-03,-12老, , , , , , ,2004-03-27,-8老, , , , , , ,2004-04-02, , , ,2004-04-02,-25老, , ,2004-03-10,-7老,2004-03-23,-7老, , ,2004-03-24,3老,2004-03-27,-3老, , ,2004-03-21,1老,2004-03-27,-5老, , ,2004-03-26,-5老,2004-04-06,-4老, , ,2004-03-26,-4老,2004-04-05,-7老, , ,2004-03-26,-7老,2004-04-07,-7老, , 
巩版,2005,2005-04-10,-6老,2005-10-01,-4老, , , , ,2005-04-12,-6老, , , , , , ,2005-04-12,-3老, , , , , , ,2005-04-05,1老, , , , , , , , , , ,2005-04-16,-11老, , ,2005-03-14,-3老,2005-03-17,-13老, , ,2005-03-26,5老,2005-04-02,3老, , ,2005-03-26,6老,2005-04-03,2老, , ,2005-03-29,-2老,2005-04-15,5老, , ,2005-03-29,-1老,2005-04-15,3老, , ,2005-03-29,-4老,2005-04-16,2老, , 
巩版,2006,2006-04-12,-4老,2006-10-10,5老, , , , ,2006-04-15,-3老, , , , , , ,2006-04-08,-7老, , , , , , ,2006-03-21,-14老, , , , , , , , , , ,2006-04-14,-13老, , ,2006-03-13,-4老,2006-03-16,-14老, , ,2006-03-20,-1老,2006-04-01,2老, , ,2006-03-20,0老,2006-04-02,1老, , ,2006-03-24,-7老,2006-04-08,-2老, , ,2006-03-24,-6老,2006-04-09,-3老, , ,2006-03-24,-9老,2006-04-09,-5老, , 
巩版,2007, , , , , , , , , , , , , , , , , , , , , , , , ,2007-03-20,-15老, , , , , , , , , , , , , , ,2007-02-26,-19老,2007-03-10,-20老, , ,2007-03-12,-9老,2007-03-24,-6老, , ,2007-03-13,-7老,2007-03-25,-7老, , ,2007-03-24,-7老, , , , ,2007-03-24,-6老, , , , ,2007-03-24,-9老, , , , 
巩版,2008,2008-04-03,-13老, , , , , , ,2008-04-14,-4老, , , , , , ,2008-04-11,-4老, , , , , , ,2008-03-18,-17老, , , , , , ,2008-04-14, , , , , , , ,2008-03-11,-6老,2008-03-24,-6老, , ,2008-03-20,-1老,2008-03-26,-4老, , ,2008-03-21,1老,2008-03-27,-5老, , ,2008-03-25,-6老,2008-04-07,-3老, , ,2008-04-01,2老,2008-04-07,-5老, , ,2008-04-02,0老,2008-04-09,-5老, , 
豪拳,2004,2004-04-26,-4老,2004-10-08,0老, , , , ,2004-05-01,0老, , , , , , ,2004-03-24,-8老, , , , , , ,2004-03-23,-14老, , , , , , , , , , , , , , ,2004-03-25,-11老,2004-04-02,-17老, , ,2004-03-28,-3老,2004-04-08,-1老, , ,2004-03-30,-2老,2004-04-09,-1老, , ,2004-03-31,-4老,2004-04-12,-5老, , ,2004-04-12,-5老,2004-04-17,-8老, , ,2004-04-13,-5老,2004-04-19,-7老, , 
豪拳,2005,2005-05-10,10老,2005-10-12,4老, , , , ,2005-05-07,6老, , , , , , ,2005-03-30,-2老, , , , , , ,2005-03-21,-16老, , , , , , , , , , , , , , ,2005-04-05,0老,2005-04-10,-9老, , ,2005-04-06,6老,2005-04-11,2老, , ,2005-04-07,6老,2005-04-13,3老, , ,2005-04-08,4老,2005-04-19,2老, , ,2005-04-13,-4老,2005-04-24,-1老, , ,2005-04-18,0老,2005-04-28,2老, , 
豪拳,2006,2006-05-08,8老, , , , , , ,2006-05-02,1老, , , , , , ,2006-03-26,-6老, , , , , , ,2006-04-03,-3老, , , , , , , , , , , , , , ,2006-03-24,-12老,2006-04-08,-11老, , ,2006-03-25,-6老,2006-04-03,-6老, , ,2006-04-03,2老,2006-04-10,0老, , ,2006-04-03,-1老,2006-04-18,1老, , ,2006-04-21,4老,2006-04-29,4老, , ,2006-04-25,7老,2006-05-02,6老, , 
豪拳,2007,2007-05-11,11老, , , , , , ,2007-05-05,4老, , , , , , ,2007-03-16,-16老, , , , , , ,2007-03-27,-10老, , , , , , , , , , , , , , ,2007-03-14,-22老,2007-04-02,-17老, , ,2007-03-16,-15老,2007-03-29,-11老, , ,2007-03-23,-9老,2007-04-02,-8老, , ,2007-03-27,-8老,2007-04-13,-4老, , ,2007-04-13,-4老,2007-04-23,-2老, , ,2007-04-18,0老,2007-04-26,0老, , 
豪拳,2008,2008-05-21,21老, , , , , , ,2008-04-30,-1老, , , , , , ,2008-03-15,-17老, , , , , , ,2008-04-14,8老, , , , , , , , , , , , , , ,2008-03-25,-11老,2008-04-06,-13老, , ,2008-03-29,-2老,2008-04-07,-2老, , ,2008-03-31,-1老,2008-04-08,-2老, , ,2008-04-03,-1老,2008-04-16,-1老, , ,2008-04-13,-4老,2008-04-22,-3老, , ,2008-04-16,-2老,2008-04-24,-2老, , 
惑林,2004,2004-04-19,6老,2004-10-20, , , , , ,2004-04-18,-20老, , , , , , ,2004-03-27,-17老, , , , , , ,2004-03-23,-8老, , , , , , , , , , ,2004-04-01, , , ,2004-02-19,-17老,2004-02-24,-23老, , ,2004-03-12,-4老,2004-03-23,-3老, , ,2004-03-13,-5老,2004-03-24,-4老, , ,2004-03-17,-8老,2004-03-30,-5老, , ,2004-03-16,-11老,2004-03-28,-11老, , ,2004-03-18,-9老,2004-04-03,-7老, , 
惑林,2005,2005-04-12,-1老,2005-10-06, , , , , ,2005-04-16,-22老, , , , , , ,2005-04-06,-7老, , , , , , ,2005-04-01,1老, , , , , , , , , , ,2005-04-14, , , ,2005-03-14,7老,2005-03-26,8老, , ,2005-03-23,7老,2005-04-01,6老, , ,2005-03-26,8老,2005-04-07,10老, , ,2005-04-05,11老,2005-04-08,4老, , ,2005-04-08,12老,2005-04-15,7老, , ,2005-04-11,15老,2005-04-17,7老, , 
惑林,2006,2006-04-06,-7老,2006-10-07, , , , , ,2006-04-12,-26老, , , , , , ,2006-04-05,-8老, , , , , , ,2006-03-27,-4老, , , , , , , , , , ,2006-04-12, , , ,2006-03-10,3老,2006-03-15,-3老, , ,2006-03-22,6老,2006-03-25,-1老, , ,2006-03-22,4老,2006-03-27,-1老, , ,2006-03-31,6老,2006-04-03,-1老, , ,2006-03-31,4老,2006-04-03,-5老, , ,2006-03-27,0老,2006-04-03,-7老, , 
惑林,2007,2007-04-12,-1老,2007-10-11, , , , , ,2007-04-21,-17老, , , , , , ,2007-04-11,-2老, , , , , , ,2007-03-19,-12老, , , , , , , , , , ,2007-04-14, , , ,2007-02-27,-8老,2007-03-09,-9老, , ,2007-03-09,-7老,2007-03-22,-4老, , ,2007-03-09,-9老,2007-03-22,-6老, , ,2007-03-23,-2老,2007-04-01,-3老, , ,2007-03-23,-4老,2007-04-07,-1老, , ,2007-03-23,-4老,2007-04-07,-3老, , 
惑林,2008,2008-04-02,-11老,2008-10-01, , , , , ,2008-04-22,-16老, , , , , , ,2008-04-10,-3老, , , , , , ,2008-03-10,-21老, , , , , , , , , , ,2008-04-06, , , ,2008-03-08,1老,2008-03-19,1老, , ,2008-03-19,3老,2008-03-25,-1老, , ,2008-03-20,2老,2008-03-28,0老, , ,2008-03-22,-3老,2008-04-03,-1老, , ,2008-03-27,0老,2008-04-08,0老, , ,2008-03-26,-1老,2008-04-09,-1老, , 
惑林,2009,2009-04-10,-3老,2009-10-06, , , , , ,2009-04-28,-10老, , , , , , ,2009-04-16,3老, , , , , , ,2009-03-15,-16老, , , , , , , , , , ,2009-04-08, , , ,2009-03-01,-6老,2009-03-10,-8老, , ,2009-03-10,-6老,2009-03-17,-9老, , ,2009-03-11,-7老,2009-03-18,-10老, , ,2009-03-14,-11老,2009-03-27,-8老, , ,2009-03-18,-9老,2009-04-06,-2老, , ,2009-03-17,-10老,2009-04-07,-3老, , 
惑林,2010,2010-04-20,7老,2010-10-10, , , , , ,2010-05-11,3老, , , , , , ,2010-04-22,9老, , , , , , ,2010-04-09,9老, , , , , , , , , , ,2010-04-18, , , ,2010-03-02,-5老,2010-03-22,4老, , ,2010-03-08,-8老,2010-03-30,4老, , ,2010-03-09,-9老,2010-04-05,8老, , ,2010-03-19,-6老,2010-04-12,8老, , ,2010-03-20,-7老,2010-04-18,10老, , ,2010-03-20,-7老,2010-04-17,7老, , 
惑林,2011,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,2011-04-14,1老, , , , , , ,2011-04-12,12老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2011-02-26,-9老,2011-03-24,6老, , ,2011-03-12,-4老,2011-04-01,6老, , ,2011-03-10,-8老,2011-04-05,8老, , ,2011-03-30,5老,2011-04-11,7老, , ,2011-03-21,-6老,2011-04-14,6老, , ,2011-03-18,-9老,2011-04-13,3老, , 
惑林,2012,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—,包螟 救凳,—, , , , ,2012-04-26,13老,包螟 救凳,—, , , , ,2012-05-01,31老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2012-03-15,8老,2012-03-19,1老, , ,2012-03-27,11老,2012-04-06,11老, , ,2012-03-30,12老,2012-04-05,8老, , ,2012-04-03,9老,2012-04-12,8老, , ,2012-04-05,9老,2012-04-13,5老, , ,2012-04-07,11老,2012-04-16,6老, , 
惑林,2013,包螟 救凳,—,包螟 救凳,—, , , , ,2013-05-24,16老, , , , , , ,2013-05-03,20老, , , , , , ,2013-04-04,4老, , , , , , ,包螟 救凳,—, , ,包螟 救凳,—, , ,2013-03-15,8老,2013-03-25,7老, , ,2013-03-18,2老,2013-03-26,0老, , ,2013-03-25,7老,2013-04-01,4老, , ,2013-03-29,4老,2013-04-05,1老, , ,2013-04-02,6老,2013-04-12,4老, , ,2013-04-03,7老,2013-04-16,6老, , 
惑林,2014,2014-04-11,-2老, , , , , , ,2014-06-02,25老, , , , , , ,2014-03-28,-16老, , , , , , ,2014-03-31,0老, , , , , , , , , , ,包螟 救凳,—, , ,2014-03-17,10老,2014-03-20,2老, , ,2014-03-18,2老,2014-03-24,-2老, , ,2014-03-21,3老,2014-03-25,-3老, , ,2014-03-27,2老,2014-03-31,-4老,2014-04-01, ,2014-03-31,4老,2014-04-02,-6老, , ,2014-04-02,6老,2014-04-08,-2老, , 
惑林,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-04-06,-7老, , , , , , ,2015-03-25,-6老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-09,2老,2015-03-16,-2老, , ,2015-03-16,0老,2015-03-24,-2老, , ,2015-03-19,1老,2015-03-25,-3老, , ,2015-03-20,-5老,2015-03-30,-5老, , ,2015-03-25,-2老,2015-04-05,-3老, , ,2015-03-23,-4老,2015-04-05,-5老, , 
救悼,2004,2004-04-25,7老,2004-10-14,9老, , , , ,2004-04-28,3老, , , , , , ,2004-04-07,-8老, , ,2004-04-07, , , ,2004-03-23,-6老, , , , , , , , , , ,2004-04-02,-13老, , ,2004-02-19,-19老,2004-02-25,-27老, , ,2004-03-17,2老,2004-03-26,0老, , ,2004-03-17,0老,2004-03-26,-4老, , ,2004-03-18,-7老,2004-04-01,-4老, , ,2004-03-18,-10老,2004-04-02,-9老, , ,2004-03-18,-12老,2004-04-09,-3老, , 
救悼,2005,2005-04-23,5老,2005-10-17,12老, , , , ,2005-04-29,4老, , , , , , ,2005-04-12,-3老, , , , , , ,2005-04-04,6老, , , , , , ,2005-04-04, , , ,2005-04-04,-11老, , ,2005-02-27,-10老,2005-03-16,-7老, , ,2005-03-19,4老,2005-03-28,2老, , ,2005-03-20,3老,2005-04-04,5老, , ,2005-03-21,-4老,2005-04-09,4老, , ,2005-03-21,-7老,2005-04-16,5老, , ,2005-03-21,-9老,2005-04-15,3老, , 
救悼,2006,2006-04-10,-8老,包螟 救凳,—, , , , ,2006-04-20,-5老, , , , , , ,2006-04-10,-5老, , , , , , ,2006-03-26,-3老, , , , , , , , , , ,2006-04-06,-9老, , ,2006-02-25,-12老,2006-03-15,-8老, , ,2006-03-14,-1老,2006-03-25,-1老, , ,2006-03-19,2老,2006-03-26,-4老, , ,2006-03-31,6老,2006-04-07,2老, , ,2006-03-31,3老,2006-04-12,1老, , ,2006-03-31,1老,2006-04-13,1老, , 
救悼,2007,2007-04-14,-4老,包螟 救凳,—, , , , ,2007-04-23,-2老, , , , , , ,2007-04-17,2老, , , , , , ,2007-03-15,-14老, , , , , , , , , , ,2007-04-08,-7老, , ,2007-02-14,-23老,2007-02-26,-25老, , ,2007-02-23,-20老,2007-03-12,-14老, , ,2007-03-09,-8老,2007-03-28,-2老, , ,2007-03-20,-5老,2007-04-04,-1老, , ,2007-04-03,6老,2007-04-11,0老, , ,2007-04-03,4老,2007-04-11,-1老, , 
救悼,2008,2008-04-17,-1老,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,2008-04-08,-7老, , , , , , ,2008-04-04,6老, , , , , , , , , , ,2008-04-05,-10老, , ,2008-03-09,0老,2008-03-21,-2老, , ,2008-03-20,5老,2008-03-27,1老, , ,2008-03-21,4老,2008-03-27,-3老, , ,2008-03-22,-3老,2008-04-06,1老, , ,2008-03-28,0老,2008-04-12,1老, , ,2008-03-27,-3老,2008-04-12,0老, , 
救悼,2009,2009-04-19,1老,包螟 救凳,—, , , , ,2009-04-30,5老, , , , , , ,2009-04-18,3老, , , , , , ,2009-03-11,-18老, , , , , , ,搬螟,—, , ,2009-04-10,-5老, , ,2009-03-01,-8老,2009-03-14,-9老, , ,2009-03-14,-1老,2009-03-19,-7老, , ,2009-03-10,-7老,2009-03-16,-14老, , ,2009-03-13,-12老,2009-03-29,-7老, , ,2009-03-19,-9老,2009-04-07,-4老, , ,2009-03-18,-12老,2009-04-02,-10老, , 
救悼,2010,2010-04-11,-7老,包螟 救凳,—, , , , ,2010-05-05,10老, , , , , , ,2010-04-13,-2老, , , , , , ,2010-04-02,4老, , , , , , , , , , ,2010-04-18,3老, , ,2010-03-02,-7老,2010-04-04,12老, , ,2010-03-13,-2老,2010-03-29,3老, , ,2010-03-08,-9老,2010-04-05,6老, , ,2010-03-12,-13老,2010-04-10,5老, , ,2010-03-17,-11老,2010-04-18,7老, , ,2010-03-17,-13老,2010-04-20,8老, , 
救悼,2011,2011-04-10,-8老,包螟 救凳,—, , , , ,2011-05-01,6老, , , , , , ,2011-04-15,0老, , , , , , ,2011-04-05,7老, , , , , , , , , , ,2011-04-12,-3老, , ,2011-03-06,-3老,2011-04-01,9老, , ,2011-03-27,12老,2011-04-05,10老, , ,2011-03-26,9老,2011-04-06,7老, , ,2011-04-04,10老,2011-04-11,6老, , ,2011-04-05,8老,2011-04-16,5老, , ,2011-04-06,7老,2011-04-18,6老, , 
救悼,2012,包螟 救凳,—,包螟 救凳,—, , , , ,2012-04-20,-5老, , , , , , ,2012-04-25,10老, , , , , , ,2012-04-17,19老, , , , , , , , , , ,包螟 救凳,—, , ,2012-03-14,5老,2012-03-29,6老, , ,2012-03-20,5老,2012-04-02,7老, , ,2012-03-29,12老,2012-04-09,10老, , ,2012-04-02,8老,2012-04-11,6老, , ,2012-04-04,7老,2012-04-16,5老, , ,2012-04-04,5老,2012-04-16,4老, , 
救悼,2013,包螟 救凳,—,包螟 救凳,—, , , , ,2013-05-21,26老,包螟 救凳,—, , , , ,2013-05-21,36老, , , , , , ,2013-04-03,5老, , , , , , ,包螟 救凳,—,包螟 救凳,—,包螟 救凳,—, , ,2013-03-14,5老,2013-03-24,1老, , ,2013-03-18,3老,2013-03-27,1老, , ,2013-03-21,4老,2013-03-31,1老, , ,2013-03-27,2老,2013-04-05,0老, , ,2013-04-03,6老,2013-04-18,7老, , ,2013-04-01,2老,2013-04-15,3老, , 
救悼,2014,包螟 救凳,—, , , , , , ,2014-05-16,21老, , , , , , ,2014-04-04,-11老, , , , , , ,2014-03-28,-1老, , , , , , ,包螟 救凳,—, , , , , , ,2014-03-16,7老,2014-03-27,4老, , ,2014-03-20,5老,2014-03-27,1老, , ,2014-03-21,4老,2014-03-27,-3老, , ,2014-03-30,5老,2014-04-01,-4老, , ,2014-03-28,0老,2014-04-06,-5老, , ,2014-03-30,0老,2014-04-07,-5老, , 
救悼,2015,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2015-03-26,-3老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-09,0老,2015-03-22,-1老,搬螟,—,2015-03-19,4老,2015-03-26,0老,搬螟,—,2015-03-20,3老,2015-03-26,-4老,搬螟,—,2015-03-26,1老,2015-04-01,-4老,搬螟,—,2015-03-27,-1老,2015-04-13,2老,搬螟,—,2015-03-27,-3老,2015-04-13,1老,搬螟,—
救悼,2016,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2016-03-31,2老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-03-01,-8老,2016-03-13,-10老,2016-03-22,-12老,2016-03-12,-3老,2016-03-26,0老,2016-03-29,-3老,2016-03-12,-5老,2016-03-24,-6老,2016-03-29,-4老,2016-03-23,-2老,2016-04-02,-3老,2016-04-05,-3老,2016-03-25,-3老,2016-04-05,-6老,2016-04-09,-4老,2016-03-25,-5老,2016-04-05,-7老,2016-04-09,-6老
救悼,2017,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2017-04-07,9老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-03-10,1老,2017-03-19,-4老,2017-03-23,-11老,2017-03-13,-2老,2017-03-28,2老,2017-03-31,-1老,2017-03-13,-4老,2017-03-28,-2老,2017-03-31,-2老,2017-04-03,9老,2017-04-05,0老,2017-04-07,-1老,2017-04-03,6老,2017-04-11,0老,2017-04-13,0老,2017-04-03,4老,2017-04-11,-1老,2017-04-13,-2老
救悼,2018,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—,包螟 救凳,—, , , , ,2018-03-20,-9老, , ,2018-03-31, , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2018-03-11,2老,2018-03-20,-3老,2018-03-25,-9老,2018-03-14,-1老,2018-03-27,1老,2018-03-29,-3老,2018-03-14,-3老,2018-03-27,-3老,2018-03-29,-4老,2018-03-28,3老,2018-03-30,-6老,2018-04-01,-7老,2018-04-01,4老,2018-04-04,-7老,2018-04-08,-5老,2018-04-01,2老,2018-04-04,-8老,2018-04-08,-7老
救悼,2019,包螟 救凳,—,包螟 吝瘤,—,包螟 救凳,—,包螟 救凳,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—,包螟 救凳,—,包螟 救凳,—,包螟 救凳,—,2019-03-25,-4老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2019-03-09,0老,2019-03-11,-12老,2019-03-12,-22老,2019-03-12,-3老,2019-03-14,-12老,2019-03-21,-11老,2019-03-14,-3老,2019-03-27,-3老,2019-03-29,-4老,2019-03-25,0老,2019-03-30,-6老,2019-04-02,-6老,2019-04-02,5老,2019-04-09,-2老,2019-04-11,-2老,2019-04-02,3老,2019-04-09,-3老,2019-04-11,-4老
救悼,2020,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2020-03-20,-9老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2020-03-02,-7老,2020-03-12,-11老,2020-03-17,-17老,2020-03-14,-1老,2020-03-21,-5老,2020-03-23,-9老,2020-03-18,1老,2020-03-21,-9老,2020-03-23,-10老,2020-03-24,-1老,2020-03-27,-9老,2020-03-28,-11老,2020-03-22,-6老,2020-04-01,-10老,2020-04-03,-10老,2020-03-22,-8老,2020-04-01,-11老,2020-04-03,-12老
救悼,2021,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2021-04-14,-1老, , , , , , ,2021-03-24,-5老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2021-03-05,-4老,2021-03-12,-11老,2021-03-15,-19老,2021-03-15,0老,2021-03-22,-4老,2021-03-25,-7老,2021-03-15,-2老,2021-03-22,-8老,2021-03-25,-8老,2021-03-22,-3老,2021-03-26,-10老,2021-03-30,-9老,2021-03-22,-6老,2021-04-01,-10老,2021-04-03,-10老,2021-03-23,-7老,2021-04-01,-11老,2021-04-03,-12老
救悼,2022,2022-04-18,0老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-04-20,5老,2022-04-20, , , , , ,2022-04-04,6老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-03-15,6老,2022-03-23,0老,2022-03-27,-7老,2022-03-15,0老,2022-03-26,0老,2022-03-30,-2老,2022-03-18,1老,2022-03-27,-3老,2022-03-31,-2老,2022-03-28,3老,2022-04-02,-3老,2022-04-07,-1老,2022-03-23,-5老,2022-04-01,-10老,2022-04-07,-6老,2022-03-28,-2老,2022-04-06,-6老,2022-04-10,-5老
救悼,2023,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-04-23,8老, , , , , , ,2023-03-26,-3老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-03-02,-7老,2023-03-13,-10老,2023-03-15,-19老,2023-03-03,-12老,2023-03-13,-13老,2023-03-20,-12老,2023-03-08,-9老,2023-03-17,-13老,2023-03-22,-11老,2023-03-09,-16老,2023-03-23,-13老,2023-03-27,-12老,2023-03-08,-20老,2023-03-31,-11老,2023-04-02,-11老,2023-03-08,-22老,2023-03-30,-13老,2023-04-01,-14老
救悼,2024,2024-04-14,-4老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-04-15,0老, , , , , , ,2024-04-10,12老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-02-17,-21老,2024-03-08,-15老,2024-03-22,-12老,2024-03-04,-11老,2024-03-23,-3老,2024-03-27,-5老,2024-03-04,-13老,2024-03-24,-6老,2024-03-27,-6老,2024-03-17,-8老,2024-04-01,-4老,2024-04-02,-6老,2024-03-13,-15老,2024-04-02,-9老,2024-04-06,-7老,2024-03-17,-13老,2024-04-05,-7老,2024-04-08,-7老
康傣,2004,2004-04-18,-5老,2004-10-10,6老, , , , ,2004-04-20,3老, , , , , , ,2004-03-26,-2老, , , , , , ,2004-03-23,-8老, , , , , , , , , , ,2004-04-01,-4老, , ,2004-02-05,-20老,2004-02-17,-22老, , ,2004-03-10,-2老,2004-03-20,-5老, , ,2004-03-09,-3老,2004-03-20,-4老, , ,2004-03-18,0老,2004-03-28,-6老, , ,2004-03-16,-2老,2004-03-30,-6老, , ,2004-03-18,-1老,2004-04-04,-6老, , 
康傣,2005,2005-04-10,-13老,2005-10-14,10老, , , , ,2005-04-17,0老, , , , , , ,2005-04-07,10老, , , , , , ,2005-04-15,15老, , , , , , , , , , ,2005-04-17,12老, , ,2005-02-06,-19老,2005-02-28,-10老, , ,2005-03-26,14老,2005-04-02,8老, , ,2005-03-27,15老,2005-04-03,10老, , ,2005-04-02,15老,2005-04-07,4老, , ,2005-04-03,16老,2005-04-08,3老, , ,2005-04-04,16老,2005-04-12,2老, , 
