Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price
2014,56000,24.0,1120,70.0,5.0,2.640427537201699
2005,35000,15.3,1341,61.0,5.0,0.8370968389485007
2015,54278,12.99,2494,100.6,7.0,6.4897523468276574
2015,39000,25.4,1186,73.97,5.0,3.26036556680997
2013,40000,17.68,1968,174.33,5.0,19.883916431832404
2013,41000,15.63,1499,110.4,5.0,9.263315612844073
2011,30342,15.56,1998,252.0,5.0,33.366695167106215
2008,88000,17.7,1497,78.0,5.0,3.627692301820657
2018,9000,21.5,1197,81.8,5.0,4.611016331849919
2010,70000,19.3,1248,73.9,5.0,3.1816170353796736
2011,46279,16.47,1198,73.9,5.0,3.235301037554203
2016,105000,23.2,1248,73.94,5.0,3.1885772460847477
2011,130000,16.52,1991,123.7,5.0,11.049335090883991
2017,30000,25.17,799,53.3,5.0,0.07919086179355084
2013,54000,19.33,1968,138.03,5.0,13.567525216977236
2010,65000,20.0,1399,68.0,5.0,1.992860269814095
2010,70000,17.5,1298,85.8,5.0,5.198595717964825
2015,46000,13.0,2143,204.0,5.0,24.858758714710603
2007,113000,18.0,995,62.0,5.0,1.382595401623112
2016,67310,18.9,1197,82.0,5.0,4.645817385375292
2019,1015,19.0,1199,88.7,5.0,5.8095053183883
2011,83035,17.0,1497,118.0,5.0,10.58790300689522
2015,36983,12.99,2494,100.0,7.0,6.38534918625154
2010,76000,18.3,1991,147.9,5.0,15.2602625674541
2019,14148,14.3,1598,103.52,5.0,7.959865047265678
2011,71428,21.1,1248,73.9,5.0,3.1816170353796736
2015,10500,18.5,1197,85.8,5.0,5.307037402357375
2010,58997,16.8,1497,118.0,5.0,10.58790300689522
2015,39842,23.1,998,67.04,5.0,2.2563609103320363
2015,47490,32.26,998,58.2,4.0,0.7181543445105572
2009,45000,15.8,1172,65.0,5.0,1.7145698368058682
2011,80000,17.4,1497,117.3,5.0,10.466099319556415
2015,55409,20.5,1598,103.5,5.0,7.956384941913141
2009,77000,12.6,1586,103.3,5.0,7.934468048909652
2016,59491,22.74,796,47.3,5.0,-0.9616197038371626
2007,51000,10.5,2179,120.0,7.0,10.203663752488362
2017,18725,21.4,1197,83.1,5.0,4.837223179764841
2009,92000,11.5,2497,218.0,5.0,26.91474972609103
2013,61450,21.1,1248,73.9,5.0,3.1816170353796736
2016,18592,20.3,998,68.05,5.0,2.432106230635167
2013,65137,18.2,1248,73.74,7.0,3.1537761925593735
2011,83000,22.07,1199,73.9,5.0,3.234227357510713
2013,37000,22.32,1582,126.3,5.0,11.94088392450149
2017,14052,16.0,1497,117.3,7.0,10.466099319556415
2011,45086,20.36,1197,78.9,5.0,4.1064010557320145
2016,25400,20.51,998,67.04,5.0,2.2563609103320363
2008,194500,12.8,2494,102.0,8.0,6.733359721505268
2014,89000,12.8,2494,102.0,8.0,6.733359721505268
2012,50000,23.5,1396,88.7,5.0,5.597990349820654
2012,76551,15.0,1396,98.6,5.0,7.320642499326606
2017,9700,16.2,1199,74.0,5.0,3.2516278842733985
2013,58000,17.01,1591,121.3,5.0,11.061194465975754
2013,46000,18.5,1197,82.9,5.0,4.80242212623947
2014,72017,22.7,1582,126.24,5.0,11.930443608443879
2015,54407,22.77,1498,98.59,5.0,7.209387082214297
2012,147000,12.99,2494,100.0,8.0,6.38534918625154
2015,61000,15.73,1968,174.33,5.0,19.883916431832404
2016,18856,14.3,1598,103.52,5.0,7.959865047265678
2011,76000,11.2,2993,241.0,4.0,30.384325579937567
2017,17700,25.32,1198,77.0,5.0,3.7747173671974803
2014,82267,23.08,1461,63.1,5.0,1.0736662957460439
2018,27041,18.0,1497,117.3,5.0,10.466099319556415
2014,63000,24.07,998,67.1,5.0,2.2668012263896458
2008,61000,18.9,1061,67.0,5.0,2.1817588568870523
2018,28466,18.49,1493,100.0,7.0,7.460102909785629
2013,35373,21.1,814,55.2,5.0,0.3936956696322351
2014,51000,11.57,2179,138.1,7.0,13.353159096534599
2013,49000,17.68,1968,174.33,5.0,19.883916431832404
2015,41000,22.71,1461,84.8,5.0,4.849580603248993
2011,82831,12.8,2494,102.0,7.0,6.733359721505268
2010,52000,17.0,1497,118.0,5.0,10.58790300689522
2015,39736,25.2,1248,74.0,5.0,3.199017562142359
2014,26500,19.01,1461,108.45,5.0,8.96480518262433
2010,40000,22.0,1197,81.8,5.0,4.611016331849919
2019,5752,16.3,1956,170.0,5.0,19.143357783529964
2015,54000,19.64,1461,108.5,5.0,8.973505446005673
2014,54841,22.5,998,67.04,5.0,2.2563609103320363
2014,34000,22.7,1498,89.84,5.0,5.6868409904792365
2012,16000,19.4,1198,86.8,5.0,5.479968989940749
2017,24000,18.19,1968,174.5,5.0,19.91349732732897
2013,60000,14.0,2498,112.0,8.0,8.469117677599948
2015,58469,20.3,998,68.05,5.0,2.432106230635167
2011,110000,22.07,1199,73.9,5.0,3.234227357510713
2018,21127,14.62,1999,149.92,5.0,15.60316376771244
2013,56000,12.4,1998,132.0,8.0,12.486063051882526
2014,101000,14.02,2179,118.3,8.0,9.90785479752269
2018,13664,18.6,1197,81.83,5.0,4.616236489878725
2014,65371,19.01,1461,108.45,5.0,8.96480518262433
2014,70428,17.0,1591,121.3,5.0,11.061194465975754
2012,69010,22.32,1582,126.3,5.0,11.94088392450149
2017,68000,24.7,796,47.3,5.0,-0.9616197038371626
2012,45000,21.64,1461,84.8,5.0,4.849580603248993
2017,55945,19.3,1248,73.9,5.0,3.1816170353796736
2013,70000,22.1,1248,76.9,5.0,3.7036328382602655
2014,12000,18.9,998,67.1,5.0,2.2668012263896458
2019,10660,14.28,1798,138.03,5.0,13.750050824370637
2012,52052,16.78,1496,88.73,5.0,5.4958425035004
2012,62940,14.84,2143,170.0,5.0,18.94257961539723
2012,102000,17.92,1086,62.1,5.0,1.302291044428154
2012,60000,20.54,1598,103.6,5.0,7.9737854686758265
2013,66000,17.97,1498,99.6,5.0,7.38513240251743
2012,41000,18.5,1198,86.8,5.0,5.479968989940749
2005,135000,10.1,2354,152.0,5.0,15.583938308937155
2012,72000,16.8,1497,116.4,5.0,10.309494578692236
2014,55000,11.78,2143,167.62,5.0,18.52844707844529
2016,37354,18.88,999,123.37,5.0,12.057003955709797
2016,21000,17.9,2143,201.15,5.0,24.362843701974043
2015,66508,18.12,1995,190.0,5.0,22.58158961437112
2013,88000,11.3,2987,254.8,7.0,32.79204035344924
2012,52000,12.55,2982,169.0,7.0,17.86775679128175
2017,41372,17.9,2143,136.0,5.0,13.026400516083848
2017,50000,21.72,1498,108.4,5.0,8.916378757633835
2013,51637,25.8,1498,98.6,5.0,7.211127134890566
2009,48233,14.53,1798,138.1,5.0,13.762231193104517
2016,58000,18.9,1197,82.0,5.0,4.645817385375292
2015,44550,19.0,1199,88.7,5.0,5.8095053183883
2013,60001,22.32,1582,126.32,5.0,11.944364029854027
2014,150000,12.55,2982,168.5,7.0,17.780754157468316
2015,33000,11.5,2987,210.0,5.0,24.99660436376572
2015,62766,20.14,1498,88.8,5.0,5.505875512147297
2010,73575,18.9,998,67.1,5.0,2.2668012263896458
2015,63000,25.8,1498,98.6,5.0,7.211127134890566
2017,27270,11.36,2755,171.5,7.0,18.546495330221276
2016,41737,19.27,2143,170.0,5.0,18.94257961539723
2018,28358,19.27,2143,167.62,5.0,18.52844707844529
2012,75500,21.1,1248,73.9,5.0,3.1816170353796736
2016,9900,18.7,1199,88.7,5.0,5.8095053183883
2014,17000,19.4,1198,86.8,5.0,5.479968989940749
2015,68178,21.38,1396,88.7,5.0,5.597990349820654
2009,52008,15.3,1341,83.0,5.0,4.66521272673951
2013,76000,25.44,936,56.3,5.0,0.45411249871593107
2015,48222,17.68,1968,174.33,5.0,19.883916431832404
2016,100000,19.1,1197,82.0,5.0,4.645817385375292
2010,68000,19.3,1248,73.9,5.0,3.1816170353796736
2015,76115,13.5,2477,175.56,7.0,19.551439768876733
2013,142000,12.55,2982,168.5,7.0,17.780754157468316
2011,70000,13.2,2400,215.0,5.0,26.496880887429022
2016,34224,19.67,1582,126.2,5.0,11.923483397738805
2012,50000,14.21,2143,203.0,5.0,24.684753447083736
2015,30000,24.2,1498,98.6,7.0,7.211127134890566
2018,22000,20.37,1461,108.45,5.0,8.96480518262433
2017,4000,21.1,814,55.2,5.0,0.3936956696322351
2014,22230,11.1,2400,200.0,7.0,23.886801873026066
2011,46000,16.98,998,66.1,5.0,2.092795958762782
2013,88700,14.21,2143,203.0,5.0,24.684753447083736
2015,56000,18.9,1197,82.0,5.0,4.645817385375292
2014,84004,20.38,1968,143.0,5.0,14.43233139708275
2015,16000,14.69,2993,258.0,5.0,33.34241512959426
2015,85009,16.0,2179,140.0,7.0,13.683769105025641
2014,86000,18.88,999,123.37,5.0,12.057003955709797
2015,93442,18.2,1248,73.8,7.0,3.1642165086169864
2015,65000,15.4,2179,120.0,8.0,10.203663752488362
2013,67000,18.5,1197,80.0,5.0,4.297806850121564
2014,31513,23.08,1461,63.12,5.0,1.077146401098581
2017,75724,26.59,1248,74.0,5.0,3.199017562142359
2013,69000,21.1,814,55.2,5.0,0.3936956696322351
2010,65000,18.06,1198,75.0,5.0,3.4267068319437524
2017,27000,18.19,1968,174.5,5.0,19.91349732732897
2014,56049,18.6,1197,85.8,5.0,5.307037402357375
2012,96987,20.5,1598,103.5,5.0,7.956384941913141
2010,69000,20.36,1197,78.9,5.0,4.1064010557320145
2015,33500,27.3,1498,98.6,5.0,7.211127134890566
2012,93000,12.99,2494,100.0,8.0,6.38534918625154
2013,64000,14.7,1984,181.0,5.0,21.027352686207735
2017,48045,28.09,1248,88.5,5.0,5.722093942731888
2009,94000,10.5,2835,107.2,6.0,7.272062218334668
2011,60000,19.7,796,46.3,5.0,-1.1356249714640265
2011,56000,13.2,1995,170.0,5.0,19.101484261833832
2012,98472,23.0,1396,90.0,5.0,5.824197197735575
2016,37800,19.67,1582,126.2,5.0,11.923483397738805
2016,63617,14.0,796,35.0,5.0,-3.1018844956475897
2011,68000,18.1,1493,110.0,5.0,9.20015558605427
2017,11282,21.4,1197,83.1,5.0,4.837223179764841
2013,75000,25.8,1498,98.6,5.0,7.211127134890566
2014,78984,16.09,1995,184.0,5.0,21.537558008609928
2016,71000,14.67,1798,177.46,5.0,20.61107852689789
2014,43814,18.5,1198,86.8,5.0,5.479968989940749
2011,60000,20.36,1197,78.9,5.0,4.1064010557320145
2015,65438,17.68,1968,174.33,5.0,19.883916431832404
2014,28215,19.87,1461,83.8,5.0,4.6755753356221295
2019,15053,25.5,1498,98.6,5.0,7.211127134890566
2015,38000,24.5,1498,98.6,7.0,7.211127134890566
2012,64213,16.47,1198,73.9,5.0,3.235301037554203
2017,15000,12.6,1950,191.34,5.0,22.863072274948188
2011,82000,13.5,2987,282.0,5.0,37.52498363289994
2009,60000,13.2,1495,94.0,5.0,6.413923943937464
2012,158000,17.5,1298,85.8,5.0,5.198595717964825
2007,73000,20.36,1197,78.9,5.0,4.1064010557320145
2013,71601,18.5,1198,86.8,5.0,5.479968989940749
2015,82328,21.1,1248,73.9,5.0,3.1816170353796736
2011,38000,18.5,1198,86.8,5.0,5.479968989940749
2014,85000,20.4,1197,81.8,5.0,4.611016331849919
2012,116000,19.01,1461,108.45,5.0,8.96480518262433
2008,65000,17.92,1086,62.1,5.0,1.302291044428154
2018,5600,18.15,1198,82.0,5.0,4.644743705331802
2012,68000,11.4,2953,153.86,7.0,15.264453760672259
2010,29300,15.8,1172,65.0,5.0,1.7145698368058682
2018,23342,12.83,2179,147.5,5.0,14.988808612227123
2017,41078,22.69,1995,190.0,5.0,22.58158961437112
2014,38000,20.64,1498,108.49,5.0,8.932039231720251
2013,132000,19.4,1405,70.0,5.0,2.3344287248068785
2015,35000,22.74,796,47.3,5.0,-0.9616197038371626
2012,80000,20.0,1399,68.0,5.0,1.992860269814095
2015,27525,18.7,1199,88.7,5.0,5.8095053183883
2018,27000,24.0,1186,73.97,5.0,3.26036556680997
2015,82799,21.14,1498,103.52,5.0,8.067233051614737
2017,8000,20.89,1197,81.8,5.0,4.611016331849919
2014,46000,12.55,2982,168.5,7.0,17.780754157468316
2012,98000,22.32,1582,126.3,5.0,11.94088392450149
2016,47924,21.1,814,55.2,5.0,0.3936956696322351
2013,39000,16.5,1499,110.0,5.0,9.193713505793324
2017,33601,18.9,1197,82.0,5.0,4.645817385375292
2015,85000,17.6,1582,126.2,5.0,11.923483397738805
2012,54000,14.53,1798,138.1,5.0,13.762231193104517
2017,35000,24.3,1248,88.5,5.0,5.722093942731888
2013,80020,22.07,1199,74.0,5.0,3.2516278842733985
2005,87500,13.8,1399,68.0,5.0,1.992860269814095
2015,59500,17.3,1497,117.3,7.0,10.466099319556415
2015,76000,24.2,1498,98.6,7.0,7.211127134890566
2014,43000,15.15,2967,240.0,5.0,30.238235993441457
2015,41850,18.0,1198,86.7,5.0,5.462568463178064
2015,52300,20.38,1968,143.0,5.0,14.43233139708275
2013,31924,15.1,2179,140.0,7.0,13.683769105025641
2014,77914,16.2,1493,110.0,5.0,9.20015558605427
2013,70000,22.7,1498,89.84,5.0,5.6868409904792365
2010,94385,19.7,796,46.3,5.0,-1.1356249714640265
2012,57000,23.08,1461,63.12,5.0,1.077146401098581
2016,27039,20.3,998,68.05,5.0,2.432106230635167
2015,11000,18.0,1198,86.7,5.0,5.462568463178064
2016,57669,21.5,1498,108.5,5.0,8.93377928439652
2011,124000,11.5,2982,171.0,7.0,18.215767326535477
2017,29500,23.65,1248,88.5,5.0,5.722093942731888
2000,75000,16.1,796,37.0,4.0,-2.753873960393862
2015,54186,23.1,998,67.04,5.0,2.2563609103320363
2015,36990,19.4,1198,86.8,5.0,5.479968989940749
2016,90000,19.3,1248,73.9,5.0,3.1816170353796736
2018,23000,11.36,2755,171.5,8.0,18.546495330221276
2016,23582,19.34,1462,103.0,7.0,8.01540279401443
2009,87000,19.0,998,66.1,5.0,2.092795958762782
2019,1000,20.5,1248,91.72,5.0,6.28239090449039
2015,58634,28.4,1248,74.0,5.0,3.199017562142359
2013,41377,22.71,1461,84.8,5.0,4.849580603248993
2015,43000,21.1,814,55.2,5.0,0.3936956696322351
2015,77372,18.0,1198,86.7,5.0,5.462568463178064
2006,49000,16.6,1388,68.0,5.0,2.0046707502924903
2015,48000,18.0,1497,117.3,5.0,10.466099319556415
2012,30000,19.4,1198,86.8,5.0,5.479968989940749
2012,47000,18.9,998,67.1,5.0,2.2668012263896458
2016,76681,22.7,1582,126.2,5.0,11.923483397738805
2010,106565,10.2,2354,180.0,5.0,20.456085802489348
2011,37492,22.5,998,67.0,5.0,2.2494006996269604
2014,72843,17.3,1998,163.7,5.0,18.002030035654116
2013,55653,17.0,1197,80.0,5.0,4.297806850121564
2013,35000,25.4,624,37.48,4.0,-2.485678464452585
2014,44000,15.8,1499,110.0,5.0,9.193713505793324
2012,43200,19.1,1405,70.0,5.0,2.3344287248068785
2005,117000,18.7,1896,66.0,5.0,1.1112307529455396
2016,63961,13.5,2477,175.56,7.0,19.551439768876733
2015,20000,20.7,1496,113.98,4.0,9.889475511078716
2016,34000,19.1,1197,81.86,5.0,4.6214566479075305
2015,35000,18.6,1197,81.83,5.0,4.616236489878725
2013,43000,18.5,1197,82.85,5.0,4.793721862858126
2008,63193,20.36,1197,78.9,5.0,4.1064010557320145
2008,110000,12.8,2494,102.0,8.0,6.733359721505268
2011,44547,16.51,1586,103.2,5.0,7.917067522146967
2011,65000,17.0,1497,118.0,5.0,10.58790300689522
2012,79000,18.5,1197,85.8,5.0,5.307037402357375
2017,33000,32.26,998,58.2,4.0,0.7181543445105572
2014,108000,15.0,1396,98.6,5.0,7.320642499326606
2018,21302,13.68,2393,147.8,8.0,14.811242663208196
2014,82000,25.2,1248,74.0,5.0,3.199017562142359
2014,173000,12.99,2494,100.6,8.0,6.4897523468276574
2013,72000,17.21,1493,100.0,7.0,7.460102909785629
2014,50299,15.1,2179,140.0,7.0,13.683769105025641
2014,60000,17.68,1968,174.33,5.0,19.883916431832404
2011,112999,11.5,2982,171.0,7.0,18.215767326535477
2010,183000,12.8,2494,102.0,7.0,6.733359721505268
2016,58840,16.36,2179,187.7,5.0,21.983820370827054
2014,58000,17.01,1591,121.3,5.0,11.061194465975754
2011,78000,21.9,1396,90.0,5.0,5.824197197735575
2018,34000,21.0,1968,141.0,5.0,14.084320861829022
2012,54982,20.36,1197,78.9,5.0,4.1064010557320145
2008,65000,19.7,796,46.3,5.0,-1.1356249714640265
2018,16292,25.17,799,53.3,5.0,0.07919086179355084
2015,11206,18.9,1197,82.0,5.0,4.645817385375292
2015,32100,18.9,1197,82.0,5.0,4.645817385375292
2018,22296,22.5,998,67.04,5.0,2.2563609103320363
2015,36113,22.54,1396,88.73,5.0,5.603210507849459
2011,87000,13.1,2400,215.0,5.0,26.496880887429022
2018,1001,19.87,1461,83.8,5.0,4.6755753356221295
2015,39822,18.0,1497,117.3,5.0,10.466099319556415
2008,81814,16.1,1298,88.2,5.0,5.616208360269299
2016,62000,19.67,1582,126.2,5.0,11.923483397738805
2017,71000,26.59,1248,74.0,5.0,3.199017562142359
2019,10452,19.0,1199,88.7,5.0,5.8095053183883
2018,1520,23.84,1199,84.0,5.0,4.991680560542038
2013,35315,19.4,1198,86.8,5.0,5.479968989940749
2014,91722,25.2,1248,74.0,5.0,3.199017562142359
2011,35976,17.0,1197,80.0,5.0,4.297806850121564
2016,22000,25.17,799,53.3,5.0,0.07919086179355084
2011,71000,18.53,1968,187.74,5.0,22.21732707070865
2014,25000,18.9,1197,82.0,5.0,4.645817385375292
2010,54486,19.7,796,46.3,5.0,-1.1356249714640265
2017,18366,10.8,1997,246.74,5.0,32.4525011394324
2010,16000,15.0,1368,90.0,5.0,5.854260238953312
2017,31176,21.9,624,37.48,4.0,-2.485678464452585
2012,88375,17.05,1995,184.0,5.0,21.537558008609928
2017,34500,20.51,998,67.0,5.0,2.2494006996269604
2012,80000,12.55,2982,168.5,7.0,17.780754157468316
2013,46000,22.07,1199,73.9,5.0,3.234227357510713
2009,70000,13.9,1799,130.2,5.0,12.386515898808797
2009,51000,14.49,2993,258.0,5.0,33.34241512959426
2017,25000,16.0,2179,140.0,7.0,13.683769105025641
2017,25132,14.5,1797,147.4,5.0,15.381553862077846
2011,70000,14.53,1798,138.1,5.0,13.762231193104517
2015,48913,24.7,796,47.3,5.0,-0.9616197038371626
2014,63000,25.6,1498,98.6,5.0,7.211127134890566
2011,90000,19.7,796,46.3,5.0,-1.1356249714640265
2013,55000,19.4,1198,86.8,5.0,5.479968989940749
2013,51000,16.47,1198,73.9,5.0,3.235301037554203
2012,35844,18.5,1197,85.8,5.0,5.307037402357375
2012,14850,10.0,3696,328.5,2.0,44.85498942671428
2014,98000,17.68,1968,174.33,5.0,19.883916431832404
2015,17000,18.6,1197,81.83,5.0,4.616236489878725
2013,42670,22.32,1582,126.3,5.0,11.94088392450149
2014,33128,17.54,2993,313.0,4.0,42.91270484907178
2018,7300,24.07,998,67.1,5.0,2.2668012263896458
2016,53416,22.54,1396,88.73,5.0,5.603210507849459
2011,47000,17.6,1496,88.73,5.0,5.4958425035004
2008,72002,13.6,1991,142.0,5.0,14.233631488455602
2016,47000,21.72,1498,108.4,5.0,8.916378757633835
2016,47634,17.68,1968,174.33,5.0,19.883916431832404
2015,62000,16.47,1198,74.0,5.0,3.2527015643168884
2013,65000,19.68,1399,67.0,5.0,1.818855002187231
2014,92448,17.15,1995,147.9,5.0,15.255967847280138
2014,68000,22.7,1498,89.84,5.0,5.6868409904792365
2011,87000,0.0,2179,115.0,5.0,9.333637414354039
2016,108000,25.8,1498,98.6,5.0,7.211127134890566
2015,60000,23.3,1984,150.0,5.0,15.63318938977495
2011,82000,20.36,1197,78.9,5.0,4.1064010557320145
2016,26189,18.16,1196,86.8,5.0,5.482116350027729
2016,26300,28.09,1248,88.5,5.0,5.722093942731888
2016,35000,12.55,2982,168.7,7.0,17.815555210993686
2010,67000,18.0,1248,75.0,5.0,3.373022829769223
2012,42285,22.0,814,55.0,5.0,0.3588946161068609
2017,7000,18.15,1198,82.0,6.0,4.644743705331802
2016,42000,18.6,1197,81.83,5.0,4.616236489878725
2015,56967,17.92,1086,62.1,5.0,1.302291044428154
2019,29566,17.9,2143,170.0,5.0,18.94257961539723
2015,41836,20.51,998,67.04,5.0,2.2563609103320363
2018,19764,16.5,1493,70.0,7.0,2.2399448809797065
2009,134000,18.0,1248,75.0,5.0,3.373022829769223
2018,8321,18.6,1197,81.86,5.0,4.6214566479075305
2015,174000,19.1,1405,70.0,5.0,2.3344287248068785
2002,119613,13.1,2446,75.0,10.0,2.086754137667487
2017,21000,20.85,1197,83.14,5.0,4.844183390469917
2015,55600,20.34,1498,103.2,5.0,8.01155136597414
2014,61000,19.5,1248,75.0,5.0,3.373022829769223
2013,38428,19.4,1198,86.8,5.0,5.479968989940749
2012,18000,17.0,1197,80.0,5.0,4.297806850121564
2019,7000,12.62,2198,158.0,7.0,16.795464001482877
2016,24779,18.6,1197,81.83,5.0,4.616236489878725
2019,17431,21.5,1197,81.8,5.0,4.611016331849919
2008,88000,12.05,2179,120.0,8.0,10.203663752488362
2015,29347,22.5,998,67.04,5.0,2.2563609103320363
2015,24000,26.21,1248,88.5,5.0,5.722093942731888
2016,60249,18.25,1968,187.74,5.0,22.21732707070865
2017,15000,20.73,1373,91.1,5.0,6.040297633125409
2018,3013,24.4,1498,98.63,5.0,7.216347292919371
2013,83503,15.1,2179,140.0,7.0,13.683769105025641
2011,69000,18.3,1991,147.9,5.0,15.2602625674541
2018,54000,21.1,814,55.2,5.0,0.3936956696322351
2013,49000,23.2,1248,73.94,5.0,3.1885772460847477
2010,36000,22.5,998,67.04,5.0,2.2563609103320363
2018,12899,15.85,1499,110.4,5.0,9.263315612844073
2016,56839,19.6,1461,108.45,5.0,8.96480518262433
2012,46972,22.0,1197,81.8,5.0,4.611016331849919
2015,96012,14.95,2489,93.7,7.0,5.2944844004197495
2010,90000,10.1,2354,152.0,5.0,15.583938308937155
2016,32835,20.5,1248,91.7,5.0,6.278910799137854
2017,60739,17.01,1582,126.2,5.0,11.923483397738805
2017,19476,19.0,1368,160.0,4.0,18.0346289728338
2017,15000,18.88,999,123.24,5.0,12.034383270918303
2011,53000,14.74,2993,270.9,5.0,35.5870830819808
2016,20000,18.9,1197,82.0,5.0,4.645817385375292
2008,67000,8.7,2987,224.34,5.0,27.491839901534952
2009,140000,12.8,2494,102.0,7.0,6.733359721505268
2011,25000,11.7,2354,177.6,5.0,20.03847316018488
2007,69000,18.9,998,67.1,5.0,2.2668012263896458
2013,65461,21.9,1396,90.0,5.0,5.824197197735575
2014,33000,18.6,1197,85.8,5.0,5.307037402357375
2011,52000,17.0,1497,118.0,5.0,10.58790300689522
2015,29215,16.47,1198,74.0,5.0,3.2527015643168884
2010,40000,13.2,1495,93.7,5.0,6.361722363649404
2017,290000,12.4,2499,134.0,5.0,12.296159885347466
2017,14519,15.4,1497,117.3,7.0,10.466099319556415
2012,350000,23.4,1248,74.0,5.0,3.199017562142359
2014,39000,24.2,1498,98.6,7.0,7.211127134890566
2016,40130,16.02,1373,93.7,7.0,6.492711328955258
2015,58000,13.5,2477,175.56,7.0,19.551439768876733
2013,43000,15.0,2147,107.3,5.0,8.028154615018886
2017,15500,15.1,1196,73.0,5.0,3.080843656777006
2011,34948,16.09,1598,103.5,5.0,7.956384941913141
2006,98245,11.3,1298,83.1,8.0,4.72878149537229
2014,36390,26.0,1498,98.6,5.0,7.211127134890566
2010,122000,17.5,1197,85.8,5.0,5.307037402357375
2013,79003,20.54,1598,103.6,5.0,7.9737854686758265
2013,78830,17.0,1896,105.0,5.0,7.897436190393238
2011,53000,19.4,1198,86.8,5.0,5.479968989940749
2009,53000,19.0,998,66.1,5.0,2.092795958762782
2011,82000,21.5,1248,88.8,5.0,5.774295523019948
2013,95000,22.54,1582,126.2,5.0,11.923483397738805
2017,18090,24.07,998,67.1,5.0,2.2668012263896458
2004,70332,19.7,796,46.3,5.0,-1.1356249714640265
2018,46000,22.7,799,53.64,5.0,0.13835265278668452
2015,63402,22.7,1498,89.84,5.0,5.6868409904792365
2017,13000,26.0,1498,98.6,5.0,7.211127134890566
2010,65505,14.94,2143,204.0,5.0,24.858758714710603
2006,154000,13.2,2359,165.0,5.0,17.840638387868935
2008,85142,18.0,995,62.0,5.0,1.382595401623112
2016,45000,16.2,1199,74.0,5.0,3.2516278842733985
2011,48000,20.36,1197,78.9,5.0,4.1064010557320145
2016,39549,24.07,998,67.1,5.0,2.2668012263896458
2011,100922,10.1,2354,152.0,5.0,15.583938308937155
2013,55000,17.01,1591,121.4,5.0,11.078594992738443
2011,45000,14.94,2143,204.0,5.0,24.858758714710603
2017,145000,18.1,1199,88.7,5.0,5.8095053183883
2011,45000,14.0,2498,112.0,8.0,8.469117677599948
2012,44000,12.37,2359,198.25,5.0,23.626313536462163
2015,48000,21.38,1396,88.7,5.0,5.597990349820654
2011,64139,12.8,2494,102.0,7.0,6.733359721505268
2013,14311,30.46,796,47.3,5.0,-0.9616197038371626
2016,20000,18.6,1197,81.83,5.0,4.616236489878725
2018,18338,19.0,2996,362.07,2.0,51.44792229139153
2019,17964,22.54,1396,88.73,5.0,5.603210507849459
2012,55500,11.5,2982,169.0,7.0,17.86775679128175
2008,130000,12.05,2179,120.0,8.0,10.203663752488362
2016,50000,11.57,2987,254.79,5.0,32.79030030077296
2015,49830,16.2,1199,74.0,5.0,3.2516278842733985
2009,49000,18.48,1995,177.0,5.0,20.319521135221883
2013,53967,22.7,1498,89.84,5.0,5.6868409904792365
2011,54000,15.0,1586,104.68,5.0,8.174595318234728
2009,75000,15.0,1396,100.0,5.0,7.564249874004217
2016,100000,24.4,1120,71.0,5.0,2.814432804828563
2015,142000,19.98,1461,108.5,8.0,8.973505446005673
2012,83388,19.01,1461,108.45,5.0,8.96480518262433
2012,62000,17.5,1298,85.8,5.0,5.198595717964825
2016,61000,26.0,1498,98.6,5.0,7.211127134890566
2011,45000,14.94,2967,241.4,5.0,30.481843368119065
2013,33000,10.0,1796,157.7,5.0,17.17488179867803
2014,113565,12.99,2494,100.6,8.0,6.4897523468276574
2008,131000,15.0,1896,105.0,5.0,7.897436190393238
2015,72253,15.96,2523,62.1,7.0,-0.2405871780678357
2016,46346,20.85,1197,83.14,5.0,4.844183390469917
2016,37000,17.0,1497,118.0,5.0,10.58790300689522
2019,56371,24.0,1186,73.97,5.0,3.26036556680997
2016,98500,25.0,1396,69.01,5.0,2.1718266302476987
2015,71588,27.39,1248,74.0,5.0,3.199017562142359
2014,68000,24.7,796,47.3,5.0,-0.9616197038371626
2003,66800,11.2,2497,203.0,5.0,24.30467071168807
2016,90000,19.3,1248,73.9,5.0,3.1816170353796736
2013,54000,20.45,1461,83.8,5.0,4.6755753356221295
2011,87248,14.74,1991,184.0,5.0,21.541852728783894
2017,9052,23.1,998,67.04,5.0,2.2563609103320363
2014,67320,17.92,1086,62.1,5.0,1.302291044428154
2018,28635,16.2,1199,74.0,5.0,3.2516278842733985
2016,78904,15.96,2523,62.1,7.0,-0.2405871780678357
2018,16409,14.69,2993,258.0,5.0,33.34241512959426
2012,61180,16.8,1497,116.3,5.0,10.292094051929551
2014,59577,18.5,1197,82.85,5.0,4.793721862858126
2016,24104,12.99,2494,100.0,8.0,6.38534918625154
2008,69000,16.73,2495,218.0,5.0,26.91689708617801
2015,35000,17.21,1197,103.6,5.0,8.404331166115556
2014,75000,13.5,2477,175.56,7.0,19.551439768876733
2014,98000,16.02,1373,93.7,7.0,6.492711328955258
2014,51843,17.68,1968,174.33,5.0,19.883916431832404
2013,80000,23.4,1248,74.0,5.0,3.199017562142359
2009,110000,11.5,2982,171.0,7.0,18.215767326535477
2015,75383,19.81,1086,68.05,5.0,2.337622386807995
